Summary for Savings Accounts - EUR
Description,Amount
Saldo początkowe,"5 000,00€"
Suma wpłat,10 000€
Suma wypłat,3 000€
Łączna kwota zarobionych odsetek,"95,50€"
Podatek ogółem,0€
Opłaty ogółem,0€
Saldo końcowe,"12 095,50€"

Summary for Savings Accounts - PLN
Description,Amount
Saldo początkowe,"15 000,00 PLN"
Suma wpłat,5 000 PLN
Suma wypłat,2 000 PLN
Łączna kwota zarobionych odsetek,"420,75 PLN"
Podatek ogółem,0 PLN
Opłaty ogółem,0 PLN
Saldo końcowe,"18 420,75 PLN"

Summary for Brokerage Account - EUR
Portfolio  created on 15 cze 2023


Sells summary,Amount
Wpływy brutto,0€
Podstawa kosztowa,0€
Zrealizowany zysk/strata brutto,0€

Other Income and Fees summary,Amount
Dywidendy,"1,50€"
Podatek potrącany u źródła,"0,15€"
Kwota,"1,35€"

Summary for Brokerage Account - USD
Portfolio  created on 15 cze 2023


Sells summary,Amount
Wpływy brutto,0$
Podstawa kosztowa,0$
Zrealizowany zysk/strata brutto,0$

Other Income and Fees summary,Amount
Dywidendy,"3,50$"
Podatek potrącany u źródła,"0,53$"
Kwota,"2,97$"

Transactions for Savings Accounts - EUR
Date,Description,Money out,Money in,Balance
1 sty 2025,Interest earned,,"0,15€","5 000,15€"
2 sty 2025,Interest earned,,"0,15€","5 000,30€"
3 sty 2025,Interest earned,,"0,15€","5 000,45€"
4 sty 2025,Interest earned,,"0,15€","5 000,60€"
5 sty 2025,Interest earned,,"0,15€","5 000,75€"
6 sty 2025,Interest earned,,"0,15€","5 000,90€"
7 sty 2025,Interest earned,,"0,15€","5 001,05€"
8 sty 2025,Interest earned,,"0,15€","5 001,20€"
9 sty 2025,Interest earned,,"0,15€","5 001,35€"
10 sty 2025,Interest earned,,"0,15€","5 001,50€"
11 sty 2025,Interest earned,,"0,15€","5 001,65€"
12 sty 2025,Interest earned,,"0,15€","5 001,80€"
13 sty 2025,Interest earned,,"0,15€","5 001,95€"
14 sty 2025,Interest earned,,"0,15€","5 002,10€"
15 sty 2025,Interest earned,,"0,15€","5 002,25€"
16 sty 2025,Depositing savings,,2 000€,"7 002,25€"
17 sty 2025,Interest earned,,"0,21€","7 002,46€"
18 sty 2025,Interest earned,,"0,21€","7 002,67€"
19 sty 2025,Interest earned,,"0,21€","7 002,88€"
20 sty 2025,Interest earned,,"0,21€","7 003,09€"
21 sty 2025,Interest earned,,"0,21€","7 003,30€"
22 sty 2025,Interest earned,,"0,21€","7 003,51€"
23 sty 2025,Interest earned,,"0,21€","7 003,72€"
24 sty 2025,Interest earned,,"0,21€","7 003,93€"
25 sty 2025,Interest earned,,"0,21€","7 004,14€"
26 sty 2025,Interest earned,,"0,21€","7 004,35€"
27 sty 2025,Interest earned,,"0,21€","7 004,56€"
28 sty 2025,Interest earned,,"0,21€","7 004,77€"
29 sty 2025,Interest earned,,"0,21€","7 004,98€"
30 sty 2025,Interest earned,,"0,21€","7 005,19€"
31 sty 2025,Interest earned,,"0,21€","7 005,40€"
1 lut 2025,Interest earned,,"0,21€","7 005,61€"
2 lut 2025,Interest earned,,"0,21€","7 005,82€"
3 lut 2025,Interest earned,,"0,21€","7 006,03€"
4 lut 2025,Interest earned,,"0,21€","7 006,24€"
5 lut 2025,Interest earned,,"0,21€","7 006,45€"
6 lut 2025,Interest earned,,"0,21€","7 006,66€"
7 lut 2025,Interest earned,,"0,21€","7 006,87€"
8 lut 2025,Interest earned,,"0,21€","7 007,08€"
9 lut 2025,Interest earned,,"0,21€","7 007,29€"
10 lut 2025,Interest earned,,"0,21€","7 007,50€"
11 lut 2025,Interest earned,,"0,21€","7 007,71€"
12 lut 2025,Interest earned,,"0,21€","7 007,92€"
13 lut 2025,Interest earned,,"0,21€","7 008,13€"
14 lut 2025,Interest earned,,"0,21€","7 008,34€"
15 lut 2025,Depositing savings,,3 000€,"10 008,34€"
16 lut 2025,Interest earned,,"0,30€","10 008,64€"
17 lut 2025,Interest earned,,"0,30€","10 008,94€"
18 lut 2025,Interest earned,,"0,30€","10 009,24€"
19 lut 2025,Interest earned,,"0,30€","10 009,54€"
20 lut 2025,Interest earned,,"0,30€","10 009,84€"
21 lut 2025,Interest earned,,"0,30€","10 010,14€"
22 lut 2025,Interest earned,,"0,30€","10 010,44€"
23 lut 2025,Interest earned,,"0,30€","10 010,74€"
24 lut 2025,Interest earned,,"0,30€","10 011,04€"
25 lut 2025,Interest earned,,"0,30€","10 011,34€"
26 lut 2025,Interest earned,,"0,30€","10 011,64€"
27 lut 2025,Interest earned,,"0,30€","10 011,94€"
28 lut 2025,Interest earned,,"0,30€","10 012,24€"
1 mar 2025,Interest earned,,"0,30€","10 012,54€"
2 mar 2025,Interest earned,,"0,30€","10 012,84€"
3 mar 2025,Interest earned,,"0,30€","10 013,14€"
4 mar 2025,Interest earned,,"0,30€","10 013,44€"
5 mar 2025,Interest earned,,"0,30€","10 013,74€"
6 mar 2025,Interest earned,,"0,30€","10 014,04€"
7 mar 2025,Interest earned,,"0,30€","10 014,34€"
8 mar 2025,Interest earned,,"0,30€","10 014,64€"
9 mar 2025,Interest earned,,"0,30€","10 014,94€"
10 mar 2025,Interest earned,,"0,30€","10 015,24€"
11 mar 2025,Withdrawing savings,500€,,"9 515,24€"
12 mar 2025,Interest earned,,"0,29€","9 515,53€"
13 mar 2025,Interest earned,,"0,29€","9 515,82€"
14 mar 2025,Interest earned,,"0,29€","9 516,11€"
15 mar 2025,Interest earned,,"0,29€","9 516,40€"
31 gru 2025,Interest earned,,"0,29€","12 095,50€"

Transactions for Savings Accounts - PLN
Date,Description,Money out,Money in,Balance
1 sty 2025,Interest earned,,"1,25 PLN","15 001,25 PLN"
2 sty 2025,Interest earned,,"1,25 PLN","15 002,50 PLN"
3 sty 2025,Interest earned,,"1,25 PLN","15 003,75 PLN"
4 sty 2025,Interest earned,,"1,25 PLN","15 005,00 PLN"
5 sty 2025,Interest earned,,"1,25 PLN","15 006,25 PLN"
6 sty 2025,Interest earned,,"1,25 PLN","15 007,50 PLN"
7 sty 2025,Interest earned,,"1,25 PLN","15 008,75 PLN"
8 sty 2025,Interest earned,,"1,25 PLN","15 010,00 PLN"
9 sty 2025,Interest earned,,"1,25 PLN","15 011,25 PLN"
10 sty 2025,Interest earned,,"1,25 PLN","15 012,50 PLN"
11 sty 2025,Interest earned,,"1,25 PLN","15 013,75 PLN"
12 sty 2025,Interest earned,,"1,25 PLN","15 015,00 PLN"
13 sty 2025,Interest earned,,"1,25 PLN","15 016,25 PLN"
14 sty 2025,Interest earned,,"1,25 PLN","15 017,50 PLN"
15 sty 2025,Interest earned,,"1,25 PLN","15 018,75 PLN"
16 sty 2025,Depositing savings,,3 000 PLN,"18 018,75 PLN"
17 sty 2025,Interest earned,,"1,50 PLN","18 020,25 PLN"
18 sty 2025,Interest earned,,"1,50 PLN","18 021,75 PLN"
19 sty 2025,Interest earned,,"1,50 PLN","18 023,25 PLN"
20 sty 2025,Interest earned,,"1,50 PLN","18 024,75 PLN"
21 sty 2025,Interest earned,,"1,50 PLN","18 026,25 PLN"
22 sty 2025,Interest earned,,"1,50 PLN","18 027,75 PLN"
23 sty 2025,Interest earned,,"1,50 PLN","18 029,25 PLN"
24 sty 2025,Interest earned,,"1,50 PLN","18 030,75 PLN"
25 sty 2025,Interest earned,,"1,50 PLN","18 032,25 PLN"
26 sty 2025,Interest earned,,"1,50 PLN","18 033,75 PLN"
